nom_scientifique,nom_commun
Ara chloroptera,Red and blue macaw
Ardea cinerea,"Heron, grey"
Felis concolor,"Puma, south american"
Ninox superciliaris,"Owl, white-browed"
Plocepasser mahali,"Weaver, white-browed sparrow"
Semnopithecus entellus,Gray langur
Lepilemur rufescens,"Lemur, sportive"
unavailable,Crab (unidentified)
Vulpes chama,"Fox, cape"
Phoenicopterus ruber,Roseat flamingo
Cebus apella,"Capuchin, black-capped"
Chordeiles minor,Common nighthawk
Coluber constrictor,"Snake, racer"
Pterocles gutturalis,Yellow-throated sandgrouse
Cynictis penicillata,"Meerkat, red"
unavailable,Mudskipper (unidentified)
Aonyx cinerea,Oriental short-clawed otter
Alopex lagopus,"Fox, blue"
Marmota monax,Groundhog
Lophoaetus occipitalis,"Eagle, long-crested hawk"
Geococcyx californianus,"Roadrunner, greater"
Macropus robustus,"Wallaby, euro"
Dendrocitta vagabunda,"Pie, rufous tree"
Numida meleagris,Helmeted guinea fowl
Lemur fulvus,Brown lemur
Ara macao,Scarlet macaw
Macropus agilis,Jungle kangaroo
Canis aureus,"Jackal, indian"
Cercopithecus aethiops,Vervet monkey
Herpestes javanicus,"Mongoose, small indian"
Francolinus coqui,"Partridge, coqui"
Dasyprocta leporina,Agouti
Grus canadensis,Sandhill crane
Petaurus breviceps,Sugar glider
Terathopius ecaudatus,"Eagle, bateleur"
Cordylus giganteus,"Gazer, sun"
Nyctea scandiaca,Snowy owl
Alcelaphus buselaphus cokii,Coke's hartebeest
Sciurus niger,"Squirrel, eastern fox"
Libellula quadrimaculata,Russian dragonfly
Varanus albigularis,"Monitor, white-throated"
Eolophus roseicapillus,Red-breasted cockatoo
Ciconia ciconia,White stork
Pteronura brasiliensis,Giant otter
Axis axis,Spotted deer
Casmerodius albus,"Egret, great"
Lycaon pictus,"Dog, african wild"
Dacelo novaeguineae,"Kookaburra, laughing"
Camelus dromedarius,"Camel, dromedary"
Ardea golieth,"Heron, goliath"
Macropus agilis,River wallaby
Columba palumbus,Wood pigeon
Cacatua galerita,Sulfur-crested cockatoo
Thalasseus maximus,"Tern, royal"
Balearica pavonina,"Crane, black-crowned"
Antidorcas marsupialis,Springbok
Sceloporus magister,"Lizard, desert spiny"
Phoenicopterus chilensis,"Flamingo, chilean"
Petaurus breviceps,Sugar glider
Alouatta seniculus,Red howler monkey
Fulica cristata,Red-knobbed coot
Bugeranus caruncalatus,"Crane, wattled"
Trichoglossus chlorolepidotus,Scaly-breasted lorikeet
Dasypus novemcinctus,"Armadillo, common long-nosed"
Leprocaulinus vipera,"Insect, stick"
Boa caninus,Emerald green tree boa
Libellula quadrimaculata,"Skimmer, four-spotted"
Tamandua tetradactyla,"Tamandua, southern"
Catharacta skua,"Skua, great"
Ceryle rudis,"Kingfisher, pied"
Pycnonotus nigricans,African red-eyed bulbul
Boa constrictor mexicana,"Boa, mexican"
Eolophus roseicapillus,"Cockatoo, red-breasted"
Zenaida galapagoensis,"Dove, galapagos"
Graspus graspus,"Crab, red lava"
Odocoilenaus virginianus,White-tailed deer
Tiliqua scincoides,"Lizard, blue-tongued"
Tauraco porphyrelophus,"Turaco, violet-crested"
unavailable,Python (unidentified)
Kobus defassa,"Waterbuck, defassa"
Chauna torquata,"Screamer, southern"
unavailable,Mudskipper (unidentified)
Tadorna tadorna,"Shelduck, common"
Lamprotornis chalybaeus,"Starling, greater blue-eared"
Pseudoleistes virescens,Brown and yellow marshbird
Antidorcas marsupialis,Springbok
Ardea cinerea,"Heron, gray"
Eurocephalus anguitimens,Southern white-crowned shrike
Prionace glauca,Blue shark
Trichoglossus chlorolepidotus,Scaly-breasted lorikeet
Butorides striatus,Green heron
Phalacrocorax brasilianus,"Cormorant, neotropic"
Ephippiorhynchus mycteria,Jabiru stork
Gyps bengalensis,"Vulture, oriental white-backed"
Ardea cinerea,Gray heron
Panthera pardus,Leopard
Larus dominicanus,"Gull, kelp"
Trachyphonus vaillantii,"Barbet, levaillant's"
Chelodina longicollis,Snake-necked turtle
Sarkidornis melanotos,"Duck, comb"
Tayassu tajacu,Collared peccary
Porphyrio porphyrio,"Moorhen, purple"
Zenaida asiatica,White-winged dove
Phalacrocorax niger,Javanese cormorant
Gyps bengalensis,White-rumped vulture
Phalacrocorax carbo,"Cormorant, great"
Neophoca cinerea,"Lion, australian sea"
Tursiops truncatus,Bottle-nose dolphin
Globicephala melas,"Whale, long-finned pilot"
Chauna torquata,"Screamer, crested"
Agkistrodon piscivorus,Water moccasin
Cebus nigrivittatus,"Capuchin, weeper"
Ardea golieth,"Heron, goliath"
Canis lupus lycaon,"Wolf, timber"
Pycnonotus barbatus,"Bulbul, black-eyed"
Sylvilagus floridanus,"Rabbit, eastern cottontail"
Ursus americanus,Black bear
Odocoilenaus virginianus,"Deer, white-tailed"
Priodontes maximus,Giant armadillo
Sula nebouxii,Blue-footed booby
Galago crassicaudataus,Large-eared bushbaby
Herpestes javanicus,"Mongoose, small indian"
Nesomimus trifasciatus,Galapagos mockingbird
Struthio camelus,Ostrich
Larus sp.,Gulls (unidentified)
Libellula quadrimaculata,"Skimmer, four-spotted"
Nycticorax nycticorax,Black-crowned night heron
Cervus duvauceli,Swamp deer
Ctenophorus ornatus,Ornate rock dragon
Ammospermophilus nelsoni,"Squirrel, antelope ground"
Junonia genoveua,"Butterfly, tropical buckeye"
Papio cynocephalus,Yellow baboon
Vanessa indica,Indian red admiral
Ammospermophilus nelsoni,"Squirrel, nelson ground"
Corvus albicollis,"Raven, cape"
Gyps fulvus,Griffon vulture
Castor fiber,"Beaver, eurasian"
Libellula quadrimaculata,"Dragonfly, russian"
Anastomus oscitans,"Stork, openbill"
Vanellus chilensis,Southern lapwing
Creagrus furcatus,"Gull, swallow-tail"
Varanus salvator,Water monitor
Macaca radiata,Bonnet macaque
Meles meles,Eurasian badger
Kobus defassa,"Waterbuck, defassa"
Chlamydosaurus kingii,"Dragon, frilled"
Meles meles,"Badger, european"
Cygnus atratus,"Swan, black"
Merops nubicus,Nubian bee-eater
unavailable,Lizard (unidentified)
Herpestes javanicus,"Mongoose, small indian"
Carduelis uropygialis,"Siskin, yellow-rumped"
Graspus graspus,"Crab, sally lightfoot"
Marmota caligata,Hoary marmot
Dasyurus maculatus,"Quoll, spotted-tailed"
Pycnonotus nigricans,Black-fronted bulbul
Phascogale calura,"Wambenger, red-tailed"
Myotis lucifugus,"Bat, little brown"
Vanellus chilensis,Southern lapwing
Pandon haliaetus,Osprey
Centrocercus urophasianus,Sage grouse
Morelia spilotes variegata,"Python, carpet"
Anser caerulescens,Snow goose
Dicrostonyx groenlandicus,Arctic lemming
Funambulus pennati,"Squirrel, palm"
Cordylus giganteus,"Gazer, sun"
Fratercula corniculata,Horned puffin
Dendrocygna viduata,"Duck, white-faced whistling"
Bucephala clangula,Barrows goldeneye
Rhea americana,"Rhea, common"
Mazama gouazoubira,"Brocket, brown"
Phalacrocorax varius,Pied cormorant
Cacatua tenuirostris,Slender-billed cockatoo
Manouria emys,"Tortoise, burmese black mountain"
Psittacula krameri,Rose-ringed parakeet
Salvadora hexalepis,"Snake, western patch-nosed"
Macaca radiata,"Macaque, bonnet"
Damaliscus dorcas,Bontebok
Merops bullockoides,"Bee-eater, white-fronted"
Felis rufus,Bobcat
Ctenophorus ornatus,Ornate rock dragon
Tachyglossus aculeatus,Short-beaked echidna
Ictalurus furcatus,Blue catfish
Canis dingo,Dingo
Tragelaphus scriptus,Bushbuck
Cochlearius cochlearius,Boat-billed heron
Crocuta crocuta,"Hyena, spotted"
Ictonyx striatus,"Polecat, african"
Deroptyus accipitrinus,Hawk-headed parrot
Corvus brachyrhynchos,American crow
Orcinus orca,"Whale, killer"
Terrapene carolina,"Turtle, eastern box"
Cacatua tenuirostris,Long-billed cockatoo
Gazella thompsonii,"Gazelle, thomson's"
Centrocercus urophasianus,"Grouse, greater sage"
Lepus townsendii,"Jackrabbit, white-tailed"
Eutamias minimus,"Chipmunk, least"
Aquila chrysaetos,"Eagle, golden"
Neotoma sp.,Woodrat (unidentified)
Heloderma horridum,Mexican beaded lizard
Lemur fulvus,Brown lemur
Choloepus hoffmani,"Sloth, hoffman's"
Numida meleagris,Helmeted guinea fowl
Anas platyrhynchos,Mallard
Canis aureus,"Jackal, golden"
Columba palumbus,"Dove, ring"
Psophia viridis,Dark-winged trumpeter
Dendrocygna viduata,"Duck, white-faced whistling"
Columba palumbus,"Dove, ring"
Bucephala clangula,Common goldeneye
Chionis alba,"Sheathbill, snowy"
Paraxerus cepapi,"Squirrel, african bush"
Halcyon smyrnesis,"Kingfisher, white-throated"
Amblyrhynchus cristatus,Marine iguana
Trichosurus vulpecula,Common brushtail possum
Uraeginthus granatina,Violet-eared waxbill
Canis aureus,"Jackal, indian"
Francolinus leucoscepus,Yellow-necked spurfowl
Herpestes javanicus,Small Indian mongoose
Phoca vitulina,Harbor seal
Oreamnos americanus,"Goat, mountain"
Tragelaphus strepsiceros,"Kudu, greater"
Nasua nasua,"Coatimundi, ring-tailed"
Psophia viridis,Green-winged trumpeter
Erethizon dorsatum,"Porcupine, north american"
Rhea americana,"Rhea, common"
Theropithecus gelada,Gelada baboon
Bettongia penicillata,"Kangaroo, brush-tailed rat"
Dasypus novemcinctus,Nine-banded armadillo
Butorides striatus,Green heron
Tockus erythrorhyncus,"Hornbill, red-billed"
Castor fiber,European beaver
Francolinus coqui,Coqui partridge
Priodontes maximus,"Armadillo, giant"
Lasiorhinus latifrons,"Wombat, southern hairy-nosed"
Varanus salvator,Two-banded monitor
Kobus leche robertsi,"Lechwe, kafue flats"
Philetairus socius,Sociable weaver
Trichoglossus chlorolepidotus,Scaly-breasted lorikeet
Vanellus sp.,Lapwing (unidentified)
Nyctea scandiaca,"Owl, snowy"
Certotrichas paena,"Robin, kalahari scrub"
Coluber constrictor,Racer snake
Epicrates cenchria maurus,Columbian rainbow boa
Theropithecus gelada,Gelada baboon
Phasianus colchicus,"Pheasant, common"
Coendou prehensilis,"Porcupine, tree"
Ovis dalli stonei,"Sheep, stone"
Pseudoleistes virescens,"Marshbird, brown and yellow"
Spheniscus magellanicus,Magellanic penguin
Varanus albigularis,White-throated monitor
Sarcorhamphus papa,King vulture
Vanellus chilensis,Southern lapwing
Zosterops pallidus,"White-eye, pale"
Ceratotherium simum,"Rhinoceros, square-lipped"
Martes pennanti,Fisher
Plegadis falcinellus,Glossy ibis
Manouria emys,"Tortoise, asian foreset"
Tursiops truncatus,Bottle-nose dolphin
Aegypius tracheliotus,Lappet-faced vulture
Ceratotherium simum,White rhinoceros
Fulica cristata,"Coot, red-knobbed"
Carduelis uropygialis,Yellow-rumped siskin
Microcebus murinus,Grey mouse lemur
Iguana iguana,Common green iguana
Sula nebouxii,Blue-footed booby
Laniarius ferrugineus,Southern boubou
Macaca mulatta,Rhesus macaque
Canis lupus lycaon,Timber wolf
Spizaetus coronatus,"Eagle, crowned"
Ardea golieth,Goliath heron
Colobus guerza,"Colobus, black and white"
Junonia genoveua,Genoveva
Corythornis cristata,Malachite kingfisher
Tachyglossus aculeatus,Short-beaked echidna
Myrmecobius fasciatus,Numbat
Redunca redunca,"Reedbuck, bohor"
Macaca fuscata,Japanese macaque
Manouria emys,"Tortoise, asian foreset"
Semnopithecus entellus,"Langur, gray"
Manouria emys,Burmese brown mountain tortoise
Macropus robustus,"Wallaroo, common"
Butorides striatus,"Heron, striated"
Papio cynocephalus,Olive baboon
Proteles cristatus,Aardwolf
Rhea americana,Gray rhea
Streptopelia senegalensis,"Dove, laughing"
Cervus elaphus,Red deer
Phalacrocorax varius,Pied cormorant
Microcebus murinus,"Lemur, grey mouse"
Cebus albifrons,"Capuchin, white-fronted"
Ovis ammon,"Sheep, red"
Phoenicopterus ruber,Roseat flamingo
Grus rubicundus,Brolga crane
Acrobates pygmaeus,"Glider, feathertail"
Pteronura brasiliensis,"Otter, giant"
Semnopithecus entellus,Common langur
