nom_scientifique,date
Lasiorhinus latifrons,04/01/2015
Heloderma horridum,19/06/2014
Connochaetus taurinus,04/03/2021
Laniarius ferrugineus,27/03/2021
Deroptyus accipitrinus,20/08/2019
Lamprotornis nitens,11/10/2016
Dusicyon thous,03/10/2014
Alectura lathami,12/05/2014
Eurocephalus anguitimens,12/10/2014
Sula dactylatra,25/04/2020
Leprocaulinus vipera,18/10/2018
Acrobates pygmaeus,24/12/2015
Ceratotherium simum,13/05/2015
Anastomus oscitans,15/12/2017
Phalacrocorax niger,11/11/2015
Oncorhynchus nerka,18/07/2017
Halcyon smyrnesis,15/07/2020
Papio cynocephalus,08/07/2014
Galago crassicaudataus,09/07/2016
Ciconia ciconia,15/04/2013
Eubalaena australis,04/04/2021
Pan troglodytes,10/12/2019
Gymnorhina tibicen,08/10/2015
Chamaelo sp.,09/03/2014
Ovis canadensis,08/12/2017
Anathana ellioti,23/10/2018
Antidorcas marsupialis,06/11/2015
Chauna torquata,14/08/2015
Tamiasciurus hudsonicus,11/05/2013
Pedetes capensis,02/04/2019
Gyps bengalensis,24/07/2013
Petaurus breviceps,16/09/2019
Papio ursinus,02/06/2020
Ninox superciliaris,08/09/2019
Sarcophilus harrisii,18/09/2015
Macropus agilis,23/08/2019
Phascolarctos cinereus,02/06/2014
Nyctea scandiaca,19/10/2015
Tayassu tajacu,05/02/2016
Marmota flaviventris,28/01/2021
unavailable,28/12/2016
Cordylus giganteus,10/09/2017
Cacatua galerita,28/03/2016
Mephitis mephitis,14/09/2019
Orcinus orca,24/03/2020
Smithopsis crassicaudata,15/04/2016
Echimys chrysurus,16/03/2017
Dendrocitta vagabunda,10/07/2015
Marmota flaviventris,20/09/2018
Meleagris gallopavo,19/02/2018
Canis lupus lycaon,04/05/2014
unavailable,12/03/2017
Prionace glauca,14/12/2020
Dasypus novemcinctus,22/07/2016
Limnocorax flavirostra,21/11/2020
Papio ursinus,17/01/2015
Mycteria ibis,02/10/2013
Butorides striatus,23/01/2016
Rhea americana,17/07/2019
Dendrocitta vagabunda,04/08/2018
Aegypius tracheliotus,22/10/2017
Macropus rufogriseus,26/02/2015
Semnopithecus entellus,23/09/2015
Spermophilus tridecemlineatus,24/10/2016
Chlidonias leucopterus,01/05/2014
Tayassu pecari,29/10/2015
Merops bullockoides,03/03/2020
Himantopus himantopus,06/08/2018
Tragelaphus angasi,26/01/2018
Cervus unicolor,09/09/2015
Melursus ursinus,17/09/2014
Platalea leucordia,16/04/2013
Smithopsis crassicaudata,20/09/2014
Trichoglossus chlorolepidotus,28/01/2021
Podargus strigoides,02/02/2020
unavailable,14/02/2018
Castor fiber,18/12/2017
Manouria emys,11/03/2020
Tachyglossus aculeatus,12/05/2016
Francolinus leucoscepus,06/05/2020
Sula nebouxii,06/07/2015
Bucephala clangula,17/02/2019
Graspus graspus,16/05/2014
Eudyptula minor,16/02/2019
Anastomus oscitans,05/08/2015
Anser caerulescens,29/11/2015
Arctogalidia trivirgata,15/01/2021
Phoenicopterus ruber,02/10/2017
Chauna torquata,30/07/2018
Prionace glauca,25/11/2017
Loris tardigratus,04/09/2013
Canis mesomelas,27/03/2016
Oryx gazella,14/02/2017
Leprocaulinus vipera,29/12/2017
Centrocercus urophasianus,26/10/2013
Haliaetus vocifer,02/04/2016
Hyaena hyaena,01/01/2019
Hyaena brunnea,19/07/2013
Aquila chrysaetos,07/07/2018
Phalaropus lobatus,11/07/2020
Mustela nigripes,25/07/2020
Mazama gouazoubira,03/12/2013
Spermophilus tridecemlineatus,26/07/2018
Psittacula krameri,21/01/2017
Boselaphus tragocamelus,04/11/2016
Meles meles,19/09/2016
Echimys chrysurus,20/01/2021
Colobus guerza,05/05/2017
Sagittarius serpentarius,13/12/2019
Paroaria gularis,11/02/2020
Tockus flavirostris,06/10/2013
Paradoxurus hermaphroditus,10/03/2019
Marmota caligata,14/07/2013
Paraxerus cepapi,12/04/2016
Toxostoma curvirostre,22/02/2014
Uraeginthus granatina,31/07/2016
Graspus graspus,21/11/2018
Lorythaixoides concolor,01/06/2017
Ciconia ciconia,26/05/2016
Bassariscus astutus,14/10/2017
Columba livia,25/07/2013
Paraxerus cepapi,03/07/2019
Sylvicapra grimma,02/04/2020
Pteropus rufus,13/04/2018
Anitibyx armatus,01/01/2014
Sarcophilus harrisii,17/11/2019
Laniaurius atrococcineus,10/09/2013
Buteo jamaicensis,11/07/2017
Macropus parryi,16/10/2017
Suricata suricatta,27/02/2019
Theropithecus gelada,04/07/2017
Chionis alba,16/12/2017
Raphicerus campestris,30/11/2017
Cathartes aura,13/02/2014
Tachyglossus aculeatus,26/09/2014
Lorythaixoides concolor,04/07/2014
Falco mexicanus,06/01/2017
Ceratotherium simum,31/05/2013
Anthropoides paradisea,01/03/2021
Myrmecophaga tridactyla,25/10/2019
Varanus sp.,28/02/2016
Antilope cervicapra,09/02/2015
Laniaurius atrococcineus,11/05/2017
Diceros bicornis,19/03/2018
Threskionis aethiopicus,26/07/2017
Varanus albigularis,15/08/2020
Larus dominicanus,03/06/2016
Kobus defassa,23/03/2016
Ictalurus furcatus,08/11/2020
Canis lupus baileyi,20/11/2016
Bassariscus astutus,26/08/2018
Agama sp.,27/03/2015
Macropus robustus,20/11/2013
Zosterops pallidus,24/11/2020
Chelodina longicollis,02/03/2019
Grus rubicundus,17/02/2019
Rhea americana,07/01/2015
Phasianus colchicus,03/05/2013
Columba palumbus,30/04/2018
Diomedea irrorata,18/05/2016
Chauna torquata,23/11/2019
Falco peregrinus,02/12/2017
Physignathus cocincinus,22/07/2019
Leipoa ocellata,03/02/2021
Mycteria leucocephala,09/05/2020
Pandon haliaetus,16/05/2019
Herpestes javanicus,05/06/2014
Bubalornis niger,19/10/2015
Choloepus hoffmani,01/01/2014
Stercorarius longicausus,31/08/2017
Geochelone elephantopus,22/08/2018
Vulpes vulpes,17/06/2017
Haematopus ater,06/08/2018
Lophoaetus occipitalis,06/12/2015
Cercatetus concinnus,08/12/2017
Spermophilus richardsonii,14/09/2017
Manouria emys,19/08/2020
Eumetopias jubatus,09/05/2014
Paraxerus cepapi,15/05/2018
Microcebus murinus,16/06/2014
Tamiasciurus hudsonicus,19/08/2015
